Temperature (K),Pressure (MPa),Density (kg/mÂ³)
270,30.02,837.4
270,25.01,834.8
270,20.0,832.2
270,15.01,829.5
270,10.01,826.7
270,5.0,823.8
270,4.01,823.2
270,3.0,822.6
270,2.01,822.0
270,1.01,821.4
270,0.51,821.1
270,0.083,820.8
290,30.0,824.5
290,25.0,821.7
290,20.0,818.8
290,15.0,815.8
290,10.0,812.0
290,5.01,809.5
290,4.01,808.9
290,3.01,808.3
290,2.01,807.6
290,1.01,806.1
290,0.51,806.6
290,0.083,806.3
310,30.01,811.3
310,25.01,808.2
310,20.01,805.1
310,15.01,801.8
310,10.01,798.4
310,5.01,794.8
310,4.0,794.1
310,3.01,793.3
310,2.01,792.6
310,1.01,791.4
310,0.51,791.4
310,0.083,791.1
330,30.0,798.5
330,25.01,795.2
330,20.01,791.7
330,15.01,788.1
330,10.01,784.3
330,5.01,780.4
330,4.02,779.6
330,3.01,778.8
330,2.01,777.9
330,1.01,777.1
330,0.51,776.6
330,0.083,776.3
350,30.0,786.0
350,25.01,782.4
350,20.01,778.7
350,15.01,774.7
350,10.01,770.6
350,5.01,766.2
350,4.01,765.3
350,3.01,764.4
350,2.01,763.4
350,1.01,762.1
350,0.5,762.0
350,0.083,761.6
370,30.01,773.6
370,25.01,769.7
370,20.01,765.6
370,15.01,761.3
370,10.02,756.7
370,5.01,751.8
370,4.01,750.8
370,3.01,749.8
370,2.01,748.7
370,1.01,747.6
370,0.5,746.1
370,0.083,746.6
390,30.01,761.2
390,25.01,756.9
390,20.02,752.4
390,15.01,747.6
390,10.01,742.6
390,5.01,737.2
390,4.01,736.0
390,3.01,734.9
390,2.01,733.7
390,1.01,732.7
390,0.5,731.8
390,0.083,731.3
410,30.0,748.7
410,25.01,744.0
410,20.01,739.9
410,15.01,735.3
410,10.01,728.3
410,5.01,722.2
410,4.01,720.9
410,3.01,719.8
410,2.01,718.5
410,1.01,717.2
410,0.52,716.2
410,0.083,715.6
430,30.0,736.2
430,25.01,731.2
430,20.01,725.8
430,15.02,720.8
430,10.02,713.8
430,5.01,706.9
430,4.0,705.4
430,3.0,703.9
430,2.01,702.8
430,1.01,702.4
430,0.51,700.3
430,0.083,699.3
450,30.0,723.8
450,25.0,718.3
450,20.01,712.5
450,15.01,706.1
450,10.0,699.1
450,5.02,691.4
450,4.0,689.7
450,3.01,688.0
450,2.01,686.2
450,1.01,684.1
450,0.51,683.4
450,0.083,682.6
470,29.99,711.5
470,25.0,705.6
470,20.01,699.2
470,15.02,692.1
470,10.02,684.3
470,5.01,675.5
470,4.0,673.5
470,3.0,671.5
470,2.01,669.5
470,1.01,667.4
470,0.51,666.3
470,0.083,665.3
